Generation	Treatment	Bin	Target temp	Target pH	Salinity	t(oC) in	P (dbars) in	Total P (mmol/kgSW)	Total Si (mmol/kgSW)	TA in (mmol/kgSW)	TCO2 in (mmol/kgSW)	pH in	fCO2 in (matm)	pCO2 in (matm)	HCO3 in (mmol/kgSW)	CO3 in (mmol/kgSW)	CO2 in (mmol/kgSW)	B Alk in (mmol/kgSW)	OH in (mmol/kgSW)	P Alk in (mmol/kgSW)	Si Alk in (mmol/kgSW) 	Revelle in	WCa in	WAr in	xCO2 in (dry at 1 atm) (ppm)
F0	1	1	13	8.2	30	18	0	0.00	0.00	1959.5	1738.7	8.250	287.6	288.6	1574.7	153.911765	10.135182	73.2	3.836454	0.000000	0.0	10.511	3.80	2.43	294.5
F0	1	1	13	8.2	30	18	0	0.00	0.00	1960.0	1739.2	8.250	287.7	288.7	1575.1	153.951664	10.137809	73.2	3.836454	0.000000	0.0	10.512	3.80	2.43	294.6
F0	1	2	13	8.2	30	18	0	0.00	0.00	1970.7	1730.4	8.290	258.9	259.9	1554.6	166.611334	9.125661	78.7	4.206588	0.000000	0.0	10.071	4.12	2.63	265.2
F0	1	2	13	8.2	30	18	0	0.00	0.00	1972.7	1732.2	8.290	259.2	260.1	1556.2	166.783446	9.135088	78.7	4.206588	0.000000	0.0	10.073	4.12	2.63	265.4
F0	1	3	13	8.2	30	19	0	0.00	0.00	1978.1	1730.6	8.290	261.0	261.9	1549.9	171.745801	8.939102	80.1	4.598822	0.000000	0.0	9.921	4.25	2.72	267.6
F0	1	3	13	8.2	30	19	0	0.00	0.00	1994.1	1745.3	8.290	263.2	264.2	1563.0	173.205311	9.015067	80.1	4.598822	0.000000	0.0	9.942	4.29	2.75	269.9
F0	2	1	13	7.85	30	20	0	0.00	0.00	1967.8	1901.9	7.830	874.6	877.6	1805.7	65.212018	30.990025	30.3	1.427057	0.000000	0.0	16.798	1.62	1.03	895.6
F0	2	1	13	7.85	30	20	0	0.00	0.00	1968.9	1899.5	7.830	882.3	885.4	1801.8	67.292026	30.381673	31.0	1.559973	0.000000	0.0	16.569	1.68	1.07	904.7
F0	2	2	13	7.85	30	19.5	0	0.00	0.00	1979.5	1901.3	7.840	859.3	862.2	1800.3	71.971362	29.013081	33.6	1.705545	0.000000	0.0	16.036	1.78	1.14	881.6
F0	2	2	13	7.85	30	20	0	0.00	0.00	1982.4	1904.1	7.840	860.5	863.5	1803.0	72.079675	29.056744	33.6	1.705545	0.000000	0.0	16.041	1.78	1.14	882.9
F0	2	3	13	7.85	30	20	0	0.00	0.00	1967.5	1903.5	7.810	909.1	912.3	1807.3	64.137101	32.038277	30.6	1.392932	0.000000	0.0	16.738	1.58	1.01	930.9
F0	2	3	13	7.85	30	20	0	0.00	0.00	1968.2	1904.2	7.810	909.4	912.6	1807.9	64.159405	32.049419	30.6	1.392932	0.000000	0.0	16.739	1.59	1.01	931.3
F0	3	1	15	8.2	29	18	0	0.00	0.00	1990.9	1773.8	8.210	329.5	330.6	1609.5	153.358464	10.970766	70.5	4.178164	0.000000	0.0	10.683	3.80	2.44	338.3
F0	3	1	15	8.2	29	19	0	0.00	0.00	1983.4	1766.9	8.210	328.2	329.3	1603.2	152.759906	10.927947	70.5	4.178164	0.000000	0.0	10.672	3.79	2.43	337.0
F0	3	2	15	8.2	30	19.5	0	0.00	0.00	1984.4	1770.8	8.210	327.6	328.7	1609.0	150.785184	11.060965	69.9	3.998187	0.000000	0.0	10.763	3.73	2.40	336.1
F0	3	2	15	8.2	30	19.5	0	0.00	0.00	1974.2	1758.3	8.210	326.6	327.7	1595.4	152.018500	10.874910	70.5	4.178164	0.000000	0.0	10.659	3.77	2.42	335.3
F0	3	3	15	8.2	30	18	0	0.00	0.00	1955.1	1745.2	8.200	332.3	333.5	1586.4	147.717711	11.065276	69.2	4.083055	0.000000	0.0	10.752	3.66	2.35	341.2
F0	3	3	15	8.2	30	18	0	0.00	0.00	1954.2	1744.3	8.200	332.2	333.3	1585.6	147.641170	11.059542	69.2	4.083055	0.000000	0.0	10.751	3.66	2.35	341.0
F0	4	1	15	7.85	30	19	0	0.00	0.00	1987.0	1907.4	7.850	837.8	840.7	1806.1	72.664888	28.690127	33.9	1.669731	0.000000	0.0	16.032	1.80	1.15	859.0
