Generation	Treatment	Replicate	Stage	Number	Length
0	1	1	C1	1	0.325
0	1	1	C1	10	0.272
0	1	1	C1	11	0.329
0	1	1	C1	2	0.352
0	1	1	C1	3	0.381
0	1	1	C1	4	0.295
0	1	1	C1	5	0.264
0	1	1	C1	6	0.293
0	1	1	C1	7	0.277
0	1	1	C1	8	0.33
0	1	1	C1	9	0.329
0	1	1	C6F	1	0.805
0	1	1	C6F	10	0.725
0	1	1	C6F	2	0.725
0	1	1	C6F	3	0.858
0	1	1	C6F	4	0.816
0	1	1	C6F	5	0.783
0	1	1	C6F	6	0.858
0	1	1	C6F	7	0.791
0	1	1	C6F	8	0.738
0	1	1	C6F	9	0.852
0	1	1	C6M	1	0.759
0	1	1	C6M	10	0.709
0	1	1	C6M	10	0.709
0	1	1	C6M	2	0.733
0	1	1	C6M	3	0.667
0	1	1	C6M	4	0.723
0	1	1	C6M	5	0.738
0	1	1	C6M	6	0.761
0	1	1	C6M	7	0.751
0	1	1	C6M	8	0.737
0	1	1	C6M	9	0.757
0	1	2	C1	1	0.351
0	1	2	C1	10	0.364
0	1	2	C1	2	0.335
0	1	2	C1	3	0.327
0	1	2	C1	4	0.325
0	1	2	C1	5	0.329
0	1	2	C1	6	0.426
0	1	2	C1	7	0.3
0	1	2	C1	8	0.392
0	1	2	C1	9	0.286
0	1	2	C6F	1	0.805
0	1	2	C6F	2	0.732
0	1	2	C6F	3	0.782
0	1	2	C6F	4	0.824
0	1	2	C6F	5	0.807
0	1	2	C6F	6	0.835
0	1	2	C6F	7	0.799
0	1	2	C6F	8	0.796
0	1	2	C6F	9	0.84
0	1	2	C6M	1	0.733
0	1	2	C6M	10	0.766
0	1	2	C6M	2	0.736
0	1	2	C6M	3	0.731
0	1	2	C6M	4	0.708
0	1	2	C6M	5	0.72
0	1	2	C6M	6	0.722
0	1	2	C6M	7	0.755
0	1	2	C6M	8	0.729
0	1	2	C6M	9	0.714
0	1	3	C1	1	0.335
0	1	3	C1	2	0.327
0	1	3	C1	3	0.286
0	1	3	C1	4	0.298
0	1	3	C1	5	0.324
0	1	3	C1	6	0.294
0	1	3	C6F	1	0.806
0	1	3	C6F	10	0.836
0	1	3	C6F	2	0.822
0	1	3	C6F	3	0.861
0	1	3	C6F	4	0.808
0	1	3	C6F	5	0.805
0	1	3	C6F	6	0.814
0	1	3	C6F	7	0.804
0	1	3	C6F	8	0.789
0	1	3	C6F	9	0.826
0	1	3	C6M	1	0.769
0	1	3	C6M	10	0.781
0	1	3	C6M	2	0.745
0	1	3	C6M	3	0.732
0	1	3	C6M	4	0.775
0	1	3	C6M	5	0.744
0	1	3	C6M	6	0.747
0	1	3	C6M	7	0.768
0	1	3	C6M	8	0.73
0	1	3	C6M	9	0.769
2	1	1	C1	1	0.289
2	1	1	C1	10	0.326
2	1	1	C1	11	0.303
2	1	1	C1	12	0.305
2	1	1	C1	2	0.302
2	1	1	C1	3	0.309
2	1	1	C1	4	0.293
2	1	1	C1	5	0.3
2	1	1	C1	6	0.309
2	1	1	C1	7	0.313
2	1	1	C1	8	0.282
2	1	1	C1	9	0.279
2	1	1	C6F	1	0.823
2	1	1	C6F	10	0.811
2	1	1	C6F	11	0.772
2	1	1	C6F	12	0.749
2	1	1	C6F	2	0.815
2	1	1	C6F	3	0.788
2	1	1	C6F	4	0.81
2	1	1	C6F	5	0.791
2	1	1	C6F	6	0.809
2	1	1	C6F	7	0.806
2	1	1	C6F	8	0.726
2	1	1	C6F	9	0.758
2	1	1	C6M	1	0.663
2	1	1	C6M	10	0.661
2	1	1	C6M	11	0.683
2	1	1	C6M	12	0.671
2	1	1	C6M	2	0.692
2	1	1	C6M	3	0.705
2	1	1	C6M	4	0.705
2	1	1	C6M	5	0.682
2	1	1	C6M	6	0.745
2	1	1	C6M	7	0.712
2	1	1	C6M	8	0.705
2	1	1	C6M	9	0.688
2	1	2	C1	1	0.316
2	1	2	C1	10	0.312
2	1	2	C1	11	0.323
