Treatment	Rep	Beak	Generation	mean	sd	n.count	se	lower.ci	upper.ci	Stage
1	1	1	0	20.2142857142857	2.39160620081572	14	0.639183643395465	18.8334134053705	21.595158023201	C6
1	1	1	2	24.5	5.19615242270663	12	1.5	21.1985222598625	27.8014777401375	C6
1	1	1	4	19.9047619047619	4.64655530371438	21	1.01396149524141	17.7896752887533	22.0198485207705	C6
1	1	1	11	22.0526315789474	3.04546446394792	19	0.698677464973329	20.5847646937652	23.5204984641296	C6
1	1	2	0	19.7142857142857	1.48989268733698	14	0.398190569933922	18.8540472877014	20.57452414087	C6
1	1	2	2	23.8	1.03279555898864	10	0.32659863237109	23.0611825644216	24.5388174355784	C6
1	1	2	4	21.5714285714286	3.93155730686237	21	0.857936140845406	19.7818051415367	23.3610520013204	C6
1	1	3	0	20.8125	2.58763083405136	16	0.64690770851284	19.4336488586712	22.1913511413288	C6
1	1	3	2	22.6363636363636	2.37792881612244	11	0.716972514659286	21.038849320645	24.2338779520823	C6
1	1	3	4	21.1739130434783	1.30217209842365	23	0.271521652104278	20.6108116018264	21.7370144851301	C6
1	2	1	0	19.5833333333333	1.92865159365215	12	0.556753758384034	18.3579265733048	20.8087400933618	C6
1	2	1	2	22.2727272727273	1.57908406790345	22	0.336661854462746	21.5726006191949	22.9728539262597	C6
1	2	1	4	19.9130434782609	1.75584849932139	23	0.366119721008993	19.1537576492318	20.67232930729	C6
1	2	1	11	20.0416666666667	2.92632974852484	24	0.597334558584406	18.8059859860847	21.2773473472486	C6
1	2	2	0	18.4117647058824	1.17573506419451	17	0.285157638671549	17.8072575165491	19.0162718952156	C6
1	2	2	2	25.4545454545455	3.26691402897708	11	0.985011641496839	23.2598027464676	27.6492881626233	C6
1	2	2	4	19.5652173913043	2.53746629098115	23	0.529098296853512	18.467934683186	20.6625000994227	C6
1	2	3	0	20.1333333333333	3.0441200151549	15	0.785988408170106	18.4475558586324	21.8191108080343	C6
1	2	3	2	21.4615384615385	0.877058019307029	13	0.24325212770526	20.9315376048504	21.9915393182265	C6
1	2	3	4	19.7368421052632	2.44590599581237	19	0.561129319007701	18.5579531515344	20.9157310589919	C6
1	3	1	0	19.1	1.5183093090325	20	0.33950428258674	18.3894093699713	19.8105906300287	C6
1	3	1	2	20.0588235294118	2.66220660890933	34	0.456564666784986	19.1299357305629	20.9877113282607	C6
1	3	1	4	20.3333333333333	1.2833778958395	18	0.30249507099101	19.6951245203387	20.971542146328	C6
1	3	1	11	20.3809523809524	1.74574312188794	21	0.380952380952381	19.5862996391368	21.1756051227679	C6
1	3	2	0	19	1.45095250022002	20	0.324442842261525	18.320933326866	19.679066673134	C6
1	3	2	2	20.0588235294118	1.63823793430984	17	0.397331061356068	19.2165193068978	20.9011277519257	C6
1	3	2	4	20.5263157894737	1.12390297389803	19	0.257841025556124	19.9846118960045	21.0680196829429	C6
1	3	3	0	19.1333333333333	1.18723367940933	15	0.306542417893925	18.4758652361523	19.7908014305144	C6
1	3	3	2	19.7333333333333	1.75119007154183	15	0.452155332208351	18.7635565959418	20.7031100707249	C6
1	3	3	4	20.1	1.41048703794488	20	0.315394489822708	19.4398717461732	20.7601282538268	C6
2	1	1	0	18.75	0.707106781186548	8	0.25	18.1588439371018	19.3411560628982	C6
2	1	1	2	22	5.20988072251728	8	1.84197099403252	17.6444307167802	26.3555692832198	C6
2	1	1	4	22	2.28708749958746	14	0.611249845502127	20.6794749925095	23.3205250074905	C6
2	1	2	0	19.2	2.80815140006986	15	0.725061573739973	17.6448975887218	20.7551024112782	C6
2	1	2	2	21.1578947368421	1.97942634492187	19	0.454111547562975	20.2038417778391	22.1119476958451	C6
2	1	2	4	20.9375	1.76894507169292	16	0.44223626792323	19.994895707705	21.880104292295	C6
2	1	3	0	19	1.70560573084488	12	0.492365963917331	17.9163098200837	20.0836901799163	C6
2	1	3	2	21.5333333333333	3.09069263311332	15	0.798013406419589	19.8217648024647	23.244901864202	C6
2	1	3	4	19.9166666666667	2.57464325272219	12	0.743235487513204	18.2808163881966	21.5525169451367	C6
2	2	1	0	17.5833333333333	1.69183889321049	24	0.345345167946729	16.8689324234389	18.2977342432278	C6
2	2	1	2	19.3181818181818	1.75625043328552	22	0.374433850476325	18.5395039987966	20.0968596375671	C6
2	2	2	0	20.0555555555556	2.04284179866653	18	0.481502429576141	19.0396742288712	21.0714368822399	C6
2	2	2	2	23		1				C6
2	2	2	4	18.6190476190476	1.62715059156153	21	0.355073369186805	17.8783775498264	19.3597176882688	C6
2	2	3	0	19.8235294117647	1.84510481130636	17	0.447503648667734	18.8748640555331	20.7721947679963	C6
2	2	3	2	21.3888888888889	1.88301663136227	18	0.443831276374438	20.4524867480645	22.3252910297133	C6
2	2	3	4	19.0909090909091	2.99060578206539	22	0.637599295073572	17.7649487694855	20.4168694123327	C6
2	3	1	0	19.7777777777778	3.15348132140408	9	1.05116044046803	17.3537974552955	22.2017581002601	C6
2	3	1	2	17.7	1.49443411809733	10	0.472581562625261	16.6309462331009	18.7690537668991	C6
2	3	2	0	20.1666666666667	2.40138848724372	6	0.98036274465685	17.6465640029172	22.6867693304161	C6
2	3	2	2	20.1666666666667	2.48327740429189	6	1.0137937550497	17.5606268548544	22.772706478479	C6
2	3	2	4	20.5	1.95133090676397	14	0.521515121523837	19.3733350775885	21.6266649224115	C6
2	3	3	0	19	1	9	0.333333333333333	18.2313319549319	19.7686680450681	C6
2	3	3	2	18.3333333333333	1	9	0.333333333333333	17.5646652882653	19.1020013784014	C6
2	3	3	4	18.2222222222222	1.62898581063244	18	0.383955637718288	17.4121466365673	19.0322978078772	C6
3	1	1	0	17.1176470588235	0.485071250072666	17	0.117647058823529	16.8682464353857	17.3670476822613	C6
3	1	1	2	16.7272727272727	0.88273482950475	22	0.18819969800246	16.3358900297332	17.1186554248122	C6
3	1	1	4	16.1538461538462	0.967152839723182	26	0.18967427701443	15.7632046678693	16.544487639823	C6
3	1	2	0	18.2727272727273	1.61807966991178	11	0.487869376909045	17.1856865593419	19.3597679861127	C6
3	1	2	2	17	1.2853691738343	24	0.262374883916401	16.4572361996035	17.5427638003965	C6
3	1	2	4	18.5	1.45443618470685	14	0.388714421007121	17.6602335485411	19.3397664514589	C6
3	1	3	0	17.25	0.707106781186548	8	0.25	16.6588439371018	17.8411560628982	C6
3	1	3	2	16.3333333333333	1.2833778958395	18	0.30249507099101	15.6951245203387	16.971542146328	C6
3	1	3	4	16.8181818181818	1.00647255948039	22	0.214580670673484	16.3719368846383	17.2644267517253	C6
3	2	1	0	17	0	14	0	17	17	C6
3	2	1	2	17.0869565217391	1.23997959947518	23	0.258553619627293	16.550749133385	17.6231639100933	C6
3	2	1	4	18.8181818181818	2.0385887657505	22	0.434628585212507	17.9143221950595	19.7220414413042	C6
3	2	2	0	17.4	0.828078671210825	15	0.213808993529939	16.9414253169199	17.8585746830801	C6
3	2	2	2	16.0454545454545	1.43019388386839	22	0.304918360568153	15.4113421013054	16.6795669896037	C6
3	2	2	4	18.5	1.35724178507659	20	0.303488489333442	17.8647912915891	19.1352087084109	C6
3	2	3	0	17	0	10	0	17	17	C6
3	2	3	2	15.695652173913	1.52060940560911	23	0.317068979220259	15.0380913572403	16.3532129905858	C6
3	2	3	4	18.4736842105263	1.12390297389803	19	0.257841025556124	17.9319803170571	19.0153881039955	C6
3	3	1	0	17.2	0.632455532033676	10	0.2	16.7475685674404	17.6524314325596	C6
3	3	1	2	16	1.44913767461894	21	0.316227766016838	15.3403604390783	16.6596395609217	C6
3	3	2	0	18.3636363636364	2.46059859679417	11	0.74189839138557	16.7105837335641	20.0166889937087	C6
3	3	2	2	15.0714285714286	1.49173547429654	14	0.398683075465313	14.2101261513311	15.932730991526	C6
3	3	2	4	17.9473684210526	0.970319776071918	19	0.222606623516658	17.4796892594028	18.4150475827024	C6
3	3	3	0	17.8571428571429	1.57359158493889	7	0.594761714133181	16.4018133702231	19.3124723440626	C6
3	3	3	2	18	1.4142135623731	2	1	5.29379526382531	30.7062047361747	C6
3	3	3	4	16.304347826087	1.6904755277381	23	0.352488514144135	15.5733313898579	17.035364262316	C6
4	1	1	0	17	0	3	0	17	17	C6
4	1	1	2	16.6666666666667	2.46182981958666	12	0.710669054518702	15.1024946239347	18.2308387093987	C6
4	1	1	4	16.7142857142857	2.28348105187797	21	0.498296417534675	15.6748576014049	17.7537138271666	C6
4	1	1	11	16	0.707106781186548	17	0.171498585142509	15.6364392405474	16.3635607594526	C6
4	1	2	0	17	0	5	0	17	17	C6
4	1	2	2	17.7058823529412	2.08460745352551	17	0.505591571696208	16.6340761008608	18.7776886050216	C6
4	1	2	4	15.875	2.33452350598575	16	0.583630876496438	14.631020233517	17.118979766483	C6
4	1	3	0	17	0	3	0	17	17	C6
4	1	3	2	17.6875	1.88745860881769	16	0.471864652204422	16.6817443014932	18.6932556985068	C6
4	1	3	4	16.3529411764706	2.23442320495101	17	0.541927228608479	15.2041067727512	17.50177558019	C6
4	2	1	0	17	0	2	0	17	17	C6
4	2	1	2	17.6470588235294	2.17776193805097	17	0.528184852825529	16.5273569550562	18.7667606920026	C6
4	2	1	4	15.8333333333333	2.17607309565811	18	0.512905347432484	14.7511976413663	16.9154690253004	C6
4	2	1	11	18.0952380952381	2.16575072214606	21	0.472605553363791	17.1094001859464	19.0810760045298	C6
4	2	2	0	28		1				C6
4	2	2	2	16.8888888888889	2.05480466765633	18	0.484322104837853	15.867058567413	17.9107192103648	C6
4	2	2	4	14.7	1.1742858972248	20	0.262578309121398	14.1504172828431	15.2495827171569	C6
4	2	3	0	17	0	3	0	17	17	C6
4	2	3	2	16.6111111111111	2.47668870230083	18	0.583761125428343	15.3794827949489	17.8427394272733	C6
4	2	3	4	14.8888888888889	1.2313975269104	18	0.290243180538229	14.2765293052294	15.5012484725483	C6
4	3	1	0	17	0	3	0	17	17	C6
4	3	1	2	15.9130434782609	1.62125213894191	23	0.338054439790251	15.2119614800945	16.6141254764273	C6
4	3	1	4	15.9310344827586	2.69829356767197	29	0.501060536549809	14.9046585012182	16.957410464299	C6
4	3	1	11	17	1.64750894209583	15	0.425384979697663	16.0876399583043	17.9123600416957	C6
4	3	2	0	18	1.15470053837925	4	0.577350269189626	16.1626137689629	19.8373862310371	C6
4	3	2	2	16.25	1.35680105059994	12	0.39167472590032	15.3879297407104	17.1120702592896	C6
4	3	2	4	16.4444444444444	2.74367960552572	9	0.914559868508574	14.3354656057719	18.553423283117	C6
4	3	3	0	17.2	0.632455532033676	10	0.2	16.7475685674404	17.6524314325596	C6
4	3	3	2	16.64	2.07926268983343	25	0.415852537966685	15.7817225450412	17.4982774549588	C6
4	3	3	4	17.7777777777778	4.17665469538056	9	1.39221823179352	14.5673167781553	20.9882387774003	C6
