Generation	Number	Treatment	Temp	pH	Naup1	Un1	Sum1	EPR1	HF1	Naup2	Un2	Sum2	EPR2	HF2	EPRtot	Hftot
0	1	AM	13	8.2	51	1	52	26	0.980769231	36	1	37	18.5	0.972972973	22	0.98
0	2	AM	13	8.2	68	3	71	35.5	0.957746479	53	4	57	28.5	0.929824561	32	0.95
0	3	AM	13	8.2	52	3	55	27.5	0.945454545	16	12	28	14	0.571428571	21	0.82
0	4	AM	13	8.2	46	1	47	23.5	0.978723404	15	0	15	7.5	1	16	0.98
0	5	AM	13	8.2	27	3	30	15	0.9	24	0	24	12	1	14	0.94
0	6	AM	13	8.2	45	1	46	23	0.97826087	40	0	40	20	1	22	0.99
0	7	AM	13	8.2	56	1	57	28.5	0.98245614	44	2	46	23	0.956521739	26	0.97
0	8	AM	13	8.2	49	1	50	25	0.98	58	6	64	32	0.90625	29	0.94
0	9	AM	13	8.2	44	9	53	26.5	0.830188679	32	13	45	22.5	0.711111111	25	0.78
0	10	AM	13	8.2	47	4	51	25.5	0.921568627	49	1	50	25	0.98	25	0.95
0	11	AM	13	8.2	49	2	51	25.5	0.960784314	60	1	61	30.5	0	28	0.96
0	12	AM	13	8.2	38	0	38	19	1	25	0	25	12.5	1	16	1
0	13	AM	13	8.2	42	4	46	23	0.913043478	47	3	50	25	0.94	24	0.93
0	14	AM	13	8.2	52	1	53	26.5	0.981132075	0	0	0	0	0	27	0.98
0	15	AM	13	8.2	31	9	40	20	0.775	21	7	28	14	0	17	0.78
0	16	AM	13	8.2	16	2	18	9	0.888888889	29	1	30	15	0.966666667	12	0.94
0	17	AM	13	8.2	53	1	54	27	0.981481481	70	0	70	35	1	31	0.99
0	18	AM	13	8.2	41	0	41	20.5	0	43	3	46	23	0	22	
0	19	AM	13	8.2	43	0	43	21.5	1	0	0	0	0		22	1
0	20	AM	13	8.2	32	0	32	16	1	44	1	45	22.5	0.977777778	19	0.99
0	21	AM	13	8.2	52	0	52	26	1	49	5	54	27	0.907407407	27	0.95
