Generation	Number	Treatment	Temp	pH	EPRtot	Hftot	Generation.c	Rep
0	1	1	13	8.2	22	0.98	0	1
0	2	1	13	8.2	32	0.95	0	1
0	3	1	13	8.2	21	0.82	0	1
0	4	1	13	8.2	16	0.98	0	1
0	5	1	13	8.2	14	0.94	0	1
0	6	1	13	8.2	22	0.99	0	1
0	7	1	13	8.2	26	0.97	0	1
0	8	1	13	8.2	29	0.94	0	1
0	9	1	13	8.2	25	0.78	0	1
0	10	1	13	8.2	25	0.95	0	1
0	11	1	13	8.2	28	0.96	0	1
0	12	1	13	8.2	16	1	0	1
0	13	1	13	8.2	24	0.93	0	2
0	14	1	13	8.2	27	0.98	0	2
0	15	1	13	8.2	17	0.78	0	2
0	16	1	13	8.2	12	0.94	0	2
0	17	1	13	8.2	31	0.99	0	2
0	18	1	13	8.2	22		0	2
0	19	1	13	8.2	22	1	0	2
0	20	1	13	8.2	19	0.99	0	2
0	21	1	13	8.2	27	0.95	0	2
0	22	1	13	8.2	26	0.95	0	2
0	23	1	13	8.2	26	0.98	0	2
0	24	1	13	8.2	26	0.99	0	2
0	25	1	13	8.2	22	1	0	3
0	26	1	13	8.2	29	0.97	0	3
0	27	1	13	8.2	28	0.83	0	3
0	28	1	13	8.2	27	0.98	0	3
0	29	1	13	8.2	24	0.99	0	3
0	30	1	13	8.2	21	1	0	3
0	31	1	13	8.2	34	0.99	0	3
0	32	1	13	8.2	30	0.8	0	3
0	33	1	13	8.2	34	0.9	0	3
0	34	1	13	8.2	25	0.97	0	3
0	35	1	13	8.2	29	0.97	0	3
0	36	1	13	8.2	22	0.54	0	3
0	1	2	13	7.8	24	0.95	0	1
0	2	2	13	7.8	19	1	0	1
0	3	2	13	7.8	23	0.98	0	1
0	4	2	13	7.8	16	0.33	0	1
0	5	2	13	7.8	32	1	0	1
0	6	2	13	7.8	29	0.97	0	1
0	7	2	13	7.8	30	1	0	1
0	8	2	13	7.8	30	1	0	1
0	9	2	13	7.8	23	0.97	0	1
0	10	2	13	7.8	25	1	0	1
0	11	2	13	7.8	27	0.98	0	1
0	12	2	13	7.8	20	0.43	0	1
0	13	2	13	7.8	31	0.92	0	2
0	14	2	13	7.8	25	0.9	0	2
0	15	2	13	7.8	25	1	0	2
0	16	2	13	7.8	31	0.99	0	2
0	17	2	13	7.8	31	0.98	0	2
0	18	2	13	7.8			0	2
0	19	2	13	7.8	28	0.96	0	2
0	20	2	13	7.8	26	0.96	0	2
0	21	2	13	7.8	21	0.99	0	2
0	22	2	13	7.8	17	0.97	0	2
0	23	2	13	7.8	24	1	0	2
0	24	2	13	7.8	40	0.63	0	2
0	25	2	13	7.8	18	0.99	0	3
0	26	2	13	7.8	16	0.94	0	3
0	27	2	13	7.8	12	1	0	3
0	28	2	13	7.8	15	1	0	3
0	29	2	13	7.8	21	0.96	0	3
0	30	2	13	7.8	27	1	0	3
0	31	2	13	7.8	15	0.87	0	3
0	32	2	13	7.8	27	1	0	3
0	33	2	13	7.8	23	0.99	0	3
0	34	2	13	7.8	17	1	0	3
0	35	2	13	7.8	16	1	0	3
0	36	2	13	7.8	29	0.67	0	3
0	1	3	15	8.2	22	0.98	0	1
0	2	3	15	8.2			0	1
0	3	3	15	8.2			0	1
0	4	3	15	8.2	13	0.9	0	1
0	5	3	15	8.2	15	1	0	1
0	6	3	15	8.2	22	0.75	0	1
0	7	3	15	8.2	18	0.94	0	1
0	8	3	15	8.2	17		0	1
0	9	3	15	8.2	20	0.96	0	1
0	10	3	15	8.2	12		0	1
0	11	3	15	8.2	3	0.36	0	1
0	12	3	15	8.2	24	1	0	1
0	13	3	15	8.2			0	2
0	14	3	15	8.2	11	0.29	0	2
0	15	3	15	8.2	3	0.6	0	2
0	16	3	15	8.2			0	2
0	17	3	15	8.2			0	2
0	18	3	15	8.2	9	0.76	0	2
0	19	3	15	8.2	15	0.77	0	2
0	20	3	15	8.2	19	0.94	0	2
0	21	3	15	8.2	3	0.82	0	2
0	22	3	15	8.2			0	2
0	23	3	15	8.2			0	2
0	24	3	15	8.2	11	0.97	0	2
0	25	3	15	8.2	1	0	0	3
0	26	3	15	8.2	33	0.66	0	3
0	27	3	15	8.2	13	0.98	0	3
0	28	3	15	8.2	18	0.89	0	3
0	29	3	15	8.2	12	0.83	0	3
0	30	3	15	8.2	0		0	3
0	31	3	15	8.2	15	0.67	0	3
0	32	3	15	8.2			0	3
0	33	3	15	8.2	1	0.5	0	3
0	34	3	15	8.2	0		0	3
0	35	3	15	8.2	11		0	3
0	36	3	15	8.2	4	0.25	0	3
0	1	4	15	7.8	20	0.95	0	1
0	2	4	15	7.8	23	0.91	0	1
0	3	4	15	7.8			0	1
0	4	4	15	7.8	17	0.82	0	1
0	5	4	15	7.8			0	1
0	6	4	15	7.8			0	1
0	7	4	15	7.8			0	1
0	8	4	15	7.8	20	1	0	1
0	9	4	15	7.8	24	0.99	0	1
0	10	4	15	7.8	14	0.88	0	1
0	11	4	15	7.8	24	0.97	0	1
0	12	4	15	7.8	14	0.98	0	1
0	13	4	15	7.8	13	0.96	0	2
0	14	4	15	7.8	10	0.97	0	2
0	15	4	15	7.8	12	0.55	0	2
0	16	4	15	7.8	19	0.89	0	2
0	17	4	15	7.8	14	0.98	0	2
0	18	4	15	7.8	15	0.88	0	2
0	19	4	15	7.8			0	2
0	20	4	15	7.8	14	0.98	0	2
0	21	4	15	7.8	10	1	0	2
0	22	4	15	7.8	20	0.45	0	2
0	23	4	15	7.8	18	0.97	0	2
0	24	4	15	7.8	11	0.95	0	2
0	25	4	15	7.8	18	0.96	0	3
0	26	4	15	7.8	19	0.89	0	3
0	27	4	15	7.8	15	1	0	3
0	28	4	15	7.8	19	0.88	0	3
0	29	4	15	7.8	21	0.98	0	3
0	30	4	15	7.8	13	0.98	0	3
0	31	4	15	7.8	11	0.29	0	3
0	32	4	15	7.8	21	0.89	0	3
0	33	4	15	7.8			0	3
0	34	4	15	7.8			0	3
0	35	4	15	7.8	14	0.95	0	3
0	36	4	15	7.8	19	1	0	3
2	1	1	13	8.2	25	0.96	2	1
2	2	1	13	8.2	9	0.89	2	1
2	3	1	13	8.2	34	1	2	1
2	4	1	13	8.2	27	0.96	2	1
2	5	1	13	8.2	26	1	2	1
2	6	1	13	8.2	29	0.98	2	1
2	7	1	13	8.2	27	0.97	2	1
2	8	1	13	8.2	24	0.92	2	1
2	9	1	13	8.2	22	0.99	2	1
2	10	1	13	8.2	26	0.99	2	1
2	11	1	13	8.2	20	1	2	1
2	12	1	13	8.2	26	0.99	2	1
2	13	1	13	8.2	10	1	2	2
2	14	1	13	8.2	6	1	2	2
2	15	1	13	8.2	13	0	2	2
2	16	1	13	8.2	10	0.97	2	2
2	17	1	13	8.2	3	0.27	2	2
2	18	1	13	8.2	15	0.95	2	2
2	19	1	13	8.2	6	1	2	2
2	20	1	13	8.2	4	0	2	2
2	21	1	13	8.2	10	0.88	2	2
2	22	1	13	8.2	7	0.97	2	2
2	23	1	13	8.2	9	1	2	2
2	24	1	13	8.2	4	1	2	2
2	25	1	13	8.2	30	0.94	2	3
2	26	1	13	8.2	27	0.94	2	3
2	27	1	13	8.2	30	1	2	3
2	28	1	13	8.2	29	0.97	2	3
2	29	1	13	8.2	22	1	2	3
2	30	1	13	8.2	28	0.96	2	3
2	31	1	13	8.2	20	0.95	2	3
2	32	1	13	8.2	22	0.95	2	3
2	33	1	13	8.2	24	1	2	3
2	34	1	13	8.2	23	0.99	2	3
2	35	1	13	8.2	17	0.91	2	3
2	36	1	13	8.2	14	0.79	2	3
2	1	2	13	7.8	13	0.92	2	1
2	2	2	13	7.8	8	0.64	2	1
2	3	2	13	7.8	21	0.89	2	1
2	4	2	13	7.8	6	0.88	2	1
2	5	2	13	7.8	25	0.94	2	1
2	6	2	13	7.8	1	0.5	2	1
2	7	2	13	7.8	19	0.99	2	1
2	8	2	13	7.8	7	0.95	2	1
2	9	2	13	7.8	8	0.94	2	1
2	10	2	13	7.8	6	0.92	2	1
2	11	2	13	7.8	10	1	2	1
2	12	2	13	7.8	9	0.97	2	1
2	13	2	13	7.8	35	0.96	2	2
2	14	2	13	7.8	26	1	2	2
2	15	2	13	7.8	45	0.97	2	2
