Treatment	Food	Bin	Hatch1	Hatch2	Hatch3	Unhatch1	Unhatch2	Unhatch3	EPR	HF1	HF2	HF3	HF
4	600	1	5	3	2	0	1	1	4	1	0.75	0.666666667	1
4	600	1	3	10	10	0	0	8	10.33333333	1	1	0.555555556	0.741935484
4	600	1	8	14	18	0	1	0	13.66666667	1	0.933333333	1	0.975609756
4	600	1	3	11	27	0	0	0	13.66666667	1	1	1	1
4	250	1	8	11	20	0	0	1	13.33333333	1	1	0.952380952	0.975
4	250	1	2	9	12	0	0	0	7.666666667	1	1	1	1
4	250	1	4	11	14	0	2	0	10.33333333	1	0.846153846	1	0
4	250	1	4	5	8	0	0	1	6	1	1	0.888888889	0.944444444
4	0	1	2	0	2	0	0	0	1.333333333	1	0	1	1
4	0	1	1	0	2	0	0	0	1.5	1	0	1	0
4	0	1	0	0	0	0	0	0	0	0	0	0	0
4	0	1	1	0	0	0	0	0	0.5	1	0	0	1
4	600	2	0	0	0	0	0	0	0	0	0	0	0
4	600	2	3	1	2	1	2	0	3	0.75	0.333333333	1	0.666666667
4	600	2	0	0	0	11	7	6	8	0	0	0	0
4	600	2	0	3	1	0	1	0	1.666666667	0	0.75	1	0.8
4	250	2	11	10	12	2	3	5	14.33333333	0.846153846	0.769230769	0.705882353	0
4	250	2	30	13	11	0	1	1	18.66666667	1	0.928571429	0.916666667	0.964285714
4	250	2	0	0	0	3	4	2	3	0	0	0	0
4	250	2	11	8	19	0	0	0	12.66666667	1	1	1	1
4	0	2	0	0	0	0	0	0	0	0	0	0	0
4	0	2	7	1	0	0	0	0	2.666666667	1	1	0	1
4	0	2	0	0	0	0	0	0	0	0	0	0	0
4	0	2	1	0	0	0	0	0	0.333333333	1	0	0	1
4	600	3	1	5	10	0	3	5	8	1	0.625	0.666666667	0.666666667
4	600	3	12	11	15	0	2	1	13.66666667	1	0.846153846	0.9375	0.926829268
4	600	3	8	13	16	2	1	1	13.66666667	0.8	0.928571429	0.941176471	0.902439024
4	600	3	8	22	20	1	2	2	18.33333333	0.888888889	0.916666667	0.909090909	0.909090909
4	250	3	7	5	7	0	5	2	8.666666667	1	0.5	0.777777778	0.730769231
4	250	3	3	10	19	0	2	1	11.66666667	1	0.833333333	0.95	0.914285714
4	250	3	11	0	0	0	0	0	5.5	1	0	0	1
4	250	3	1	0	0	0	0	0	0.333333333	1	0	0	1
4	0	3	5	2	2	0	0	0	3	1	1	1	1
4	0	3	3	1	0	0	0	0	1.333333333	1	1	0	1
4	0	3	0	0	0	0	0	0	0	0	0	0	0
4	0	3	0	0	0	0	0	0	0	0	0	0	0
5	600	1	18	32	23	1	0	0	24.66666667	0.947368421	1	1	0.947368421
5	600	1	23	31	33	0	0	0	29	1	1	1	1
5	600	1	25	26	25	2	2	3	27.66666667	0.925925926	0.928571429	0.892857143	0.915662651
5	600	1	2	0	0	14	23	23	20.66666667	0.125	0	0	0.032258065
5	250	1	0	0	0	9	14	0	11.5	0	0	0	0
