Generation	Treatment	Rep	Stage.x	Number.x	Length.x	Weight.x	Stage.y	Number.y	Length.y	Weight.y	weight.diff	Beak	Dev.diff	Growth.Rate
0	1	1	C6F	1	0.805	5.631639356	C1	1	0.325	0.367314562	5.264324794	1	9.920168067	0.530668912
0	1	1	C6F	1	0.805	5.631639356	C1	1	0.325	0.367314562	5.264324794	2	9.5	0.554139452
0	1	1	C6F	1	0.805	5.631639356	C1	1	0.325	0.367314562	5.264324794	3	10.49671053	0.501521384
0	1	1	C6F	1	0.805	5.631639356	C1	10	0.272	0.208319416	5.42331994	1	9.920168067	0.546696377
0	1	1	C6F	1	0.805	5.631639356	C1	10	0.272	0.208319416	5.42331994	2	9.5	0.570875783
0	1	1	C6F	1	0.805	5.631639356	C1	10	0.272	0.208319416	5.42331994	3	10.49671053	0.516668524
0	1	1	C6F	1	0.805	5.631639356	C1	11	0.329	0.381911579	5.249727777	1	9.920168067	0.529197463
0	1	1	C6F	1	0.805	5.631639356	C1	11	0.329	0.381911579	5.249727777	2	9.5	0.552602924
0	1	1	C6F	1	0.805	5.631639356	C1	11	0.329	0.381911579	5.249727777	3	10.49671053	0.500130756
0	1	1	C6F	1	0.805	5.631639356	C1	2	0.352	0.473648048	5.157991308	1	9.920168067	0.519949992
0	1	1	C6F	1	0.805	5.631639356	C1	2	0.352	0.473648048	5.157991308	2	9.5	0.542946453
0	1	1	C6F	1	0.805	5.631639356	C1	2	0.352	0.473648048	5.157991308	3	10.49671053	0.491391212
0	1	1	C6F	1	0.805	5.631639356	C1	3	0.381	0.609524156	5.0221152	1	9.920168067	0.506253036
0	1	1	C6F	1	0.805	5.631639356	C1	3	0.381	0.609524156	5.0221152	2	9.5	0.528643705
0	1	1	C6F	1	0.805	5.631639356	C1	3	0.381	0.609524156	5.0221152	3	10.49671053	0.478446575
0	1	1	C6F	1	0.805	5.631639356	C1	4	0.295	0.26979824	5.361841115	1	9.920168067	0.54049902
