Date	treatment	pH	Temperature (C)	Salinity (ppt)	pCO2 (ppm)	DO (%)		
5/27/2019	AM	8.17	14		420			
5/30/2019	AM	8.22	14		370			
5/31/2019	AM	8.17	13		380			
6/4/2019	AM	8.27	14		367			
6/6/2019	AM							
6/7/2019	AM	8.21	13		373			
6/10/2019	AM	8.24	13		364			
6/12/2019	AM	8.24	13		368			
6/14/2019	AM	8.26	13		365			
6/17/2019	AM	8.24	13		376			
6/18/2019	AM	8.09	13		400			
6/24/2019	AM	8.42	13		400			
6/27/2019	AM	8.33	13		400			
6/28/2019	AM	8.34	12		400			
7/9/2019	AM	8.38	13		400			
7/12/2019	AM	8.12	15		400			
7/15/2019	AM	8.17	13		395			
7/16/2019	AM	8.09	14		398			
7/18/2019	AM	8.14	13		406			
7/19/2019	AM	8.22	13		420			
7/22/2019	AM	8.3	14		424			
7/24/2019	AM	8.15	14		396			
7/25/2019	AM	8.05	13		412			
7/29/2019	AM	8.11	13		415			
7/31/2019	AM	8.23	13		406			
8/1/2019	AM	8.33	13		435			
8/5/2019	AM	8.15	13		394			
8/6/2019	AM	8.11	13		417			
8/7/2019	AM	8.09	13		402			
8/9/2019	AM	8.13	13.5		413			
8/12/2019	AM	8.08	13		416			
8/14/2019	AM	8.11	13.5		435			
8/16/2019	AM	8.24	13.5		399			
19-Aug	AM	8.09	13					
8/21/2019	AM	8.2	13		408			
8/22/2019	AM	8.11	13		422			
8/23/2019	AM	8.14	13		416			
8/26/2019	AM	8.11	14		395			
8/27/2019	AM	8.07	13		413			
8/28/2019	AM	8.18	13		400			
8/29/2019	AM	8.16	13		380			
8/30/2019	AM	8.13	13.5					
9/4/2019	AM	8.14	13		403			
9/9/2019	AM	8.29	13.5		404			
9/12/2019	AM	8.16	13		411			
9/18/2019	AM	8.15	13.5		428			
9/19/2019	AM	8.19	13		405			
9/23/2019	AM	8.2	13		403			
9/24/2019	AM	8.19	13		415			
9/26/2019	AM	8.16	13		416			
10/2/2019	AM	8.19	13		400			
10/4/2019	AM	8.17	13		410			
10/7/2019	AM	8.15	13		403			
10/8/2019	AM	8.2	13		415			
10/9/2019	AM	8.18	13		420			
10/11/2019	AM	8.14	13		394			
10/14/2019	AM	8.3	13		430			
10/15/2019	AM	8.17	13		396			
10/16/2019	AM	8.12	13		402			
10/17/2019	AM	8.16	13		384			
10/18/2019	AM	8.14	13.5		391			
10/21/2019	AM	8.1	13		411			
10/23/2019	AM	8.23	13		393			
10/24/2019	AM	8.12	13		412			
10/25/2019	AM	8.09	13		440			
10/28/2019	AM	8.13	13		407			
10/29/2019	AM	8.12	13		403			
10/31/2019	AM	8.1	13		395			
11/5/2019	AM	8.13	13.5		431			
11/7/2019	AM	8.1	13		401			
11/12/2019	AM	8.11	13		417			
11/13/2019	AM	8.19	14		419			
11/14/2019	AM	8.14	13.5		411			
11/15/2019	AM	8.11	13		418			
11/18/2019	AM	8.05	13		398			
11/21/2019	AM	8.11	13		408			
11/25/2019	AM	8.08	13.5		404			
11/26/2019	AM	8.14	13.5		409			
12/2/2019	AM	8.08	13		389			
12/3/2019	AM	8.26	13		391			
12/4/2019	AM	8.27	13.5		404			
12/12/2019	AM	8.01	13					
12/13/2019	AM	8.16	13					
12/17/2019	AM	8.2	13		407			
12/18/2019	AM	8.16	13.5		402			
12/19/2019	AM	8.23	13		405			
12/20/2019	AM	8.28	13					
12/25/2019	AM	8.21	13		413			
1/6/2020	AM	8.22	13		407			
1/7/2020	AM	8.3	13					
1/9/2020	AM	8.32	13		410			
1/10/2020	AM	8.38	13		416			
1/16/2020	AM	8.19	13		403			
1/17/2020	AM	8.23	13		404			
1/20/2020	AM	8.25	13		400			
1/22/2020	AM	8.21	13		414			
1/24/2020	AM	8.16	13		470			
