Treatment	Temp	pH	Rep	Beak	Food	time	nx	lx	Ndev	Cdev	F.Ratio	M.Ratio
1	13	8.2	1	1	600	0	25	1	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	4	19	0.76	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	6	19	0.76	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	8	19	0.76	1	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	11	19	0.76	16	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	13	19	0.76	1	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	15	19	0.76	-1	1	0	1
1	13	8.2	1	1	600	18	19	0.76	0	1	0.5	0.5
1	13	8.2	1	1	600	20	19	0.76	-1	1	0.333333333	0.666666667
1	13	8.2	1	1	600	22	19	0.76	-14	14	0.058823529	0.941176471
1	13	8.2	1	1	600	25	19	0.76	0	0	0.058823529	0.941176471
1	13	8.2	1	1	600	27	19	0.76	0	0	0.058823529	0.941176471
1	13	8.2	1	1	600	29	19	0.76	-2	2	0.157894737	0.842105263
1	13	8.2	1	1	600	32	0	0	0	-19	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	34	0	0	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	1	600	36	0	0	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	0	25	1	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	4	22	0.88	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	6	22	0.88	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	8	22	0.88	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	11	22	0.88	20	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	13	22	0.88	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	15	22	0.88	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	18	22	0.88	-16	18	0.222222222	0.777777778
1	13	8.2	1	2	250	20	22	0.88	-3	3	0.333333333	0.666666667
1	13	8.2	1	2	250	22	22	0.88	0	0	0.333333333	0.666666667
1	13	8.2	1	2	250	25	22	0.88	0	0	0.333333333	0.666666667
1	13	8.2	1	2	250	27	22	0.88	0	0	0.333333333	0.666666667
1	13	8.2	1	2	250	29	22	0.88	0	0	0.333333333	0.666666667
1	13	8.2	1	2	250	32	22	0.88	-1	1	0.363636364	0.636363636
1	13	8.2	1	2	250	34	0	0	0	-22	#DIV/0!	#DIV/0!
1	13	8.2	1	2	250	36	0	0	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	3	0	0	25	1	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	3	0	4	10	0.4	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	3	0	6	10	0.4	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	3	0	8	8	0.32	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	3	0	11	5	0.2	0	0	#DIV/0!	#DIV/0!
1	13	8.2	1	3	0	13	5	0.2	0	0	#DIV/0!	#DIV/0!
