Samp1	Treatment_1	Generation_1	Rep_1	Samp2	Treatment_2	Generation_2	Rep_2	fst	trt_gen1	trt_gen2	group	group_gen	Generation_mod
AH_F00_Rep1	OA	F00	Rep1	AA_F00_Rep1	AA	F00	Rep1	0.0200017949384176	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
AH_F00_Rep2	OA	F00	Rep2	AA_F00_Rep1	AA	F00	Rep1	0.0288379526441517	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
AH_F00_Rep3	OA	F00	Rep3	AA_F00_Rep1	AA	F00	Rep1	0.0381752998141298	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
HA_F00_Rep1	OW	F00	Rep1	AA_F00_Rep1	AA	F00	Rep1	0.0239214304323436	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
HA_F00_Rep2	OW	F00	Rep2	AA_F00_Rep1	AA	F00	Rep1	0.0275544368025825	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
HA_F00_Rep3	OW	F00	Rep3	AA_F00_Rep1	AA	F00	Rep1	0.0269263539061352	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
HH_F00_Rep1	OWA	F00	Rep1	AA_F00_Rep1	AA	F00	Rep1	0.0199960900695895	HH_F00	AA_F00	AA_vs_HH	AA_vs_HH_F00	F00
HH_F00_Rep2	OWA	F00	Rep2	AA_F00_Rep1	AA	F00	Rep1	0.0249771102754396	HH_F00	AA_F00	AA_vs_HH	AA_vs_HH_F00	F00
HH_F00_Rep3	OWA	F00	Rep3	AA_F00_Rep1	AA	F00	Rep1	0.0221346885154048	HH_F00	AA_F00	AA_vs_HH	AA_vs_HH_F00	F00
AH_F00_Rep1	OA	F00	Rep1	AA_F00_Rep2	AA	F00	Rep2	0.0245918959283948	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
AH_F00_Rep2	OA	F00	Rep2	AA_F00_Rep2	AA	F00	Rep2	0.0281830037569062	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
AH_F00_Rep3	OA	F00	Rep3	AA_F00_Rep2	AA	F00	Rep2	0.0419415357137238	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
HA_F00_Rep1	OW	F00	Rep1	AA_F00_Rep2	AA	F00	Rep2	0.0286545596782979	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
HA_F00_Rep2	OW	F00	Rep2	AA_F00_Rep2	AA	F00	Rep2	0.0298176353124111	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
HA_F00_Rep3	OW	F00	Rep3	AA_F00_Rep2	AA	F00	Rep2	0.035420382261935	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
HH_F00_Rep1	OWA	F00	Rep1	AA_F00_Rep2	AA	F00	Rep2	0.0241543373410431	HH_F00	AA_F00	AA_vs_HH	AA_vs_HH_F00	F00
HH_F00_Rep2	OWA	F00	Rep2	AA_F00_Rep2	AA	F00	Rep2	0.0352968534362458	HH_F00	AA_F00	AA_vs_HH	AA_vs_HH_F00	F00
HH_F00_Rep3	OWA	F00	Rep3	AA_F00_Rep2	AA	F00	Rep2	0.0296416244932236	HH_F00	AA_F00	AA_vs_HH	AA_vs_HH_F00	F00
AH_F00_Rep1	OA	F00	Rep1	AA_F00_Rep3	AA	F00	Rep3	0.0209017342456812	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
AH_F00_Rep2	OA	F00	Rep2	AA_F00_Rep3	AA	F00	Rep3	0.0278944614531319	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
AH_F00_Rep3	OA	F00	Rep3	AA_F00_Rep3	AA	F00	Rep3	0.0341886368847838	AH_F00	AA_F00	AA_vs_AH	AA_vs_AH_F00	F00
HA_F00_Rep1	OW	F00	Rep1	AA_F00_Rep3	AA	F00	Rep3	0.0190179997147947	HA_F00	AA_F00	AA_vs_HA	AA_vs_HA_F00	F00
