Treatment	Food	Rep	surv	epr	hf	dev.time	lambda
1	250	1	0.88	7.333333333	0.954545455	18	1.12666498200912
1	250	1	0.88	8.333333333	0.88	18	1.12886295665914
1	250	1	0.88	15.66666667	1	18	1.16575667919157
1	250	1	0.88	11.33333333	1	18	1.14978085854646
1	250	1	0.88	9.333333333	0.821428571	18	1.13096990100399
1	250	1	0.88	9	0.814814815	18	1.12886295667178
1	250	1	0.88	17.33333333	0.980769231	18	1.16984388840331
1	250	1	0.88	12.33333333	0	18	0
1	250	1	0.88	28	0	18	0
1	250	1	0.88	21.33333333	0.828125	18	1.17177680688231
1	250	1	0.88	22.66666667	0.352941176	18	1.13299330548613
1	250	1	0.88	30.33333333	0.989010989	18	1.1989148227901
1	250	2	0.967741935	7.333333333	0.954545455	15	1.14435021124088
1	250	2	0.967741935	8.333333333	0.88	15	1.1472939524417
1	250	2	0.967741935	15.66666667	1	15	1.1965870912816
1	250	2	0.967741935	11.33333333	1	15	1.17526857847433
1	250	2	0.967741935	9.333333333	0.821428571	15	1.1501149955504
1	250	2	0.967741935	9	0.814814815	15	1.14729395245864
1	250	2	0.967741935	17.33333333	0.980769231	15	1.20203508620854
1	250	2	0.967741935	12.33333333	0	15	0
1	250	2	0.967741935	28	0	15	0
1	250	2	0.967741935	21.33333333	0.828125	15	1.20461071968446
1	250	2	0.967741935	22.66666667	0.352941176	15	1.15282347042822
1	250	2	0.967741935	30.33333333	0.989010989	15	1.24072020454347
1	250	3	0.6	7.333333333	0.954545455	18	1.04604263841592
1	250	3	0.6	8.333333333	0.88	18	1.04838338991504
1	250	3	0.6	15.66666667	1	18	1.08739990694015
1	250	3	0.6	11.33333333	1	18	1.07056704835911
1	250	3	0.6	9.333333333	0.821428571	18	1.05062542619675
1	250	3	0.6	9	0.814814815	18	1.0483833899285
1	250	3	0.6	17.33333333	0.980769231	18	1.09169168830094
1	250	3	0.6	12.33333333	0	18	0
1	250	3	0.6	28	0	18	0
1	250	3	0.6	21.33333333	0.828125	18	1.09371931282762
1	250	3	0.6	22.66666667	0.352941176	18	1.05277694180019
1	250	3	0.6	30.33333333	0.989010989	18	1.12205333759522
1	600	1	0.76	16	1	19	1.12619826713423
1	600	1	0.76	11.33333333	0.941176471	19	1.1072713166969
1	600	1	0.76	23	1	19	1.14352085848071
1	600	1	0.76	25.66666667	0.961038961	19	1.14690244064066
1	600	1	0.76	18.66666667	0.482142857	19	1.09947188351759
1	600	1	0.76	24.33333333	0.97260274	19	1.14490034429303
1	600	1	0.76	24	0.930555556	19	1.14210318737268
1	600	1	0.76	14.66666667	0.931818182	19	1.11878723303799
1	600	1	0.76	35	0.876190476	19	1.1575150556955
1	600	1	0.76	33.66666667	0.920792079	19	1.15804553123104
1	600	1	0.76	35	0.980952381	19	1.16307338221594
1	600	1	0.76	25.33333333	0.947368421	19	1.14557641866103
1	600	2	0.923076923	16	1	17	1.18918609819388
1	600	2	0.923076923	11.33333333	0.941176471	17	1.16635553829963
