Generation	Treatment	Rep	lambda	surv	epr	hf	sex	dev.time
0	1	1	1.089812773	0.6	22	0.98	0.473214286	20
0	1	1	1.106401062	0.6	32	0.95	0.473214286	20
0	1	1	1.07910801	0.6	21	0.82	0.473214286	20
0	1	1	1.074679994	0.6	16	0.98	0.473214286	20
0	1	1	1.066451996	0.6	14	0.94	0.473214286	20
0	1	1	1.090299007	0.6	22	0.99	0.473214286	20
0	1	1	1.097348765	0.6	26	0.97	0.473214286	20
0	1	1	1.101108189	0.6	29	0.94	0.473214286	20
0	1	1	1.08501573	0.6	25	0.78	0.473214286	20
0	1	1	1.094455739	0.6	25	0.95	0.473214286	20
0	1	1	1.100428672	0.6	28	0.96	0.473214286	20
0	1	1	1.075633194	0.6	16	1	0.473214286	20
0	1	1	1.107575927	0.56	22	0.98	0.473214286	19
0	1	1	1.123343708	0.56	32	0.95	0.473214286	19
0	1	1	1.097444034	0.56	21	0.82	0.473214286	19
0	1	1	1.093263	0.56	16	0.98	0.473214286	19
0	1	1	1.08550956	0.56	14	0.94	0.473214286	19
0	1	1	1.108036951	0.56	22	0.99	0.473214286	19
0	1	1	1.114729082	0.56	26	0.97	0.473214286	19
0	1	1	1.118303809	0.56	29	0.94	0.473214286	19
0	1	1	1.103031371	0.56	25	0.78	0.473214286	19
0	1	1	1.111981034	0.56	25	0.95	0.473214286	19
0	1	1	1.117657367	0.56	28	0.96	0.473214286	19
0	1	1	1.094162537	0.56	16	1	0.473214286	19
0	1	1	1.144330592	0.64	22	0.98	0.473214286	20
0	1	1	1.161868716	0.64	32	0.95	0.473214286	20
0	1	1	1.1330138	0.64	21	0.82	0.473214286	20
0	1	1	1.128332837	0.64	16	0.98	0.473214286	20
0	1	1	1.119635171	0.64	14	0.94	0.473214286	20
0	1	1	1.144844643	0.64	22	0.99	0.473214286	20
0	1	1	1.152297881	0.64	26	0.97	0.473214286	20
0	1	1	1.156272593	0.64	29	0.94	0.473214286	20
0	1	1	1.139259194	0.64	25	0.78	0.473214286	20
0	1	1	1.149239241	0.64	25	0.95	0.473214286	20
0	1	1	1.155554156	0.64	28	0.96	0.473214286	20
0	1	1	1.129340477	0.64	16	1	0.473214286	20
0	1	2	1.056489937	0.48	24	0.93	0.34248366	19
0	1	2	1.064597687	0.48	27	0.98	0.34248366	19
0	1	2	1.03210855	0.48	17	0.78	0.34248366	19
0	1	2	1.024666858	0.48	12	0.94	0.34248366	19
0	1	2	1.071721914	0.48	31	0.99	0.34248366	19
0	1	2	0	0.48	22	0	0.34248366	19
0	1	2	1.055805063	0.48	22	1	0.34248366	19
0	1	2	1.048407735	0.48	19	0.99	0.34248366	19
0	1	2	1.06311096	0.48	27	0.95	0.34248366	19
0	1	2	1.061309408	0.48	26	0.95	0.34248366	19
0	1	2	1.06279328	0.48	26	0.98	0.34248366	19
0	1	2	1.063278335	0.48	26	0.99	0.34248366	19
0	1	2	1.15026752	0.68	24	0.93	0.34248366	18
0	1	2	1.160051616	0.68	27	0.98	0.34248366	18
0	1	2	1.120863668	0.68	17	0.78	0.34248366	18
0	1	2	1.111894825	0.68	12	0.94	0.34248366	18
0	1	2	1.168651277	0.68	31	0.99	0.34248366	18
0	1	2	0	0.68	22	0	0.34248366	18
0	1	2	1.149441179	0.68	22	1	0.34248366	18
